0030054	cell junction	cellular_component
0005737	cytoplasm	cellular_component
0005829	cytosol	cellular_component
0030425	dendrite	cellular_component
0070062	extracellular exosome	cellular_component
0016020	membrane	cellular_component
0005845	mRNA cap binding complex	cellular_component
0005654	nucleoplasm	cellular_component
0005634	nucleus	cellular_component
0000932	P-body	cellular_component
0005844	polysome	cellular_component
1990904	ribonucleoprotein complex	cellular_component
0016442	RISC complex	cellular_component
0070578	RISC-loading complex	cellular_component
0001046	core promoter sequence-specific DNA binding	molecular_function
0003725	double-stranded RNA binding	molecular_function
0004521	endoribonuclease activity	molecular_function
0090624	endoribonuclease activity, cleaving miRNA-paired mRNA	molecular_function
0070551	endoribonuclease activity, cleaving siRNA-paired mRNA	molecular_function
0046872	metal ion binding	molecular_function
0035198	miRNA binding	molecular_function
0098808	mRNA cap binding	molecular_function
0008022	protein C-terminus binding	molecular_function
0000340	RNA 7-methylguanosine cap binding	molecular_function
0003723	RNA binding	molecular_function
0000993	RNA polymerase II complex binding	molecular_function
0003727	single-stranded RNA binding	molecular_function
0035197	siRNA binding	molecular_function
0003743	translation initiation factor activity	molecular_function
0031047	gene silencing by RNA	biological_process
0035280	miRNA loading onto RISC involved in gene silencing by miRNA	biological_process
0035278	miRNA mediated inhibition of translation	biological_process
0010586	miRNA metabolic process	biological_process
0035279	mRNA cleavage involved in gene silencing by miRNA	biological_process
0090625	mRNA cleavage involved in gene silencing by siRNA	biological_process
0042985	negative regulation of amyloid precursor protein biosynthetic process	biological_process
0010629	negative regulation of gene expression	biological_process
0045947	negative regulation of translational initiation	biological_process
0045766	positive regulation of angiogenesis	biological_process
0010628	positive regulation of gene expression	biological_process
1905618	positive regulation of miRNA mediated inhibition of translation	biological_process
1900153	positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	biological_process
0060213	positive regulation of nuclear-transcribed mRNA poly(A) tail shortening	biological_process
0045944	positive regulation of transcription by RNA polymerase II	biological_process
0045975	positive regulation of translation, ncRNA-mediated	biological_process
1901165	positive regulation of trophoblast cell migration	biological_process
0009791	post-embryonic development	biological_process
0035194	post-transcriptional gene silencing by RNA	biological_process
0031054	pre-miRNA processing	biological_process
0035196	production of miRNAs involved in gene silencing by miRNA	biological_process
0030422	production of siRNA involved in RNA interference	biological_process
0060964	regulation of gene silencing by miRNA	biological_process
0010501	RNA secondary structure unwinding	biological_process
0035087	siRNA loading onto RISC involved in RNA interference	biological_process
0006412	translation	biological_process
0007223	Wnt signaling pathway, calcium modulating pathway	biological_process
0032991	protein-containing complex	cellular_component
0003682	chromatin binding	molecular_function
0003677	DNA binding	molecular_function
0042393	histone binding	molecular_function
0031491	nucleosome binding	molecular_function
0016706	2-oxoglutarate-dependent dioxygenase activity	molecular_function
0005506	iron ion binding	molecular_function
0042803	protein homodimerization activity	molecular_function
0000049	tRNA binding	molecular_function
0102524	tRNAPhe (7-(3-amino-3-carboxypropyl)wyosine37-C2)-hydroxylase activity	molecular_function
0006400	tRNA modification	biological_process
0031591	wybutosine biosynthetic process	biological_process
0031464	Cul4A-RING E3 ubiquitin ligase complex	cellular_component
0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	biological_process
0016567	protein ubiquitination	biological_process
0033391	chromatoid body	cellular_component
0036464	cytoplasmic ribonucleoprotein granule	cellular_component
0010494	cytoplasmic stress granule	cellular_component
0016281	eukaryotic translation initiation factor 4F complex	cellular_component
0098978	glutamatergic synapse	cellular_component
0048471	perinuclear region of cytoplasm	cellular_component
0099524	postsynaptic cytosol	cellular_component
0019899	enzyme binding	molecular_function
0031370	eukaryotic initiation factor 4G binding	molecular_function
0070491	repressing transcription factor binding	molecular_function
0000339	RNA cap binding	molecular_function
0001662	behavioral fear response	biological_process
0071549	cellular response to dexamethasone stimulus	biological_process
0000082	G1/S transition of mitotic cell cycle	biological_process
0030324	lung development	biological_process
0006406	mRNA export from nucleus	biological_process
0045665	negative regulation of neuron differentiation	biological_process
0017148	negative regulation of translation	biological_process
0045931	positive regulation of mitotic cell cycle	biological_process
0006417	regulation of translation	biological_process
0006405	RNA export from nucleus	biological_process
0019827	stem cell population maintenance	biological_process
0006413	translational initiation	biological_process
0016032	viral process	biological_process
0005509	calcium ion binding	molecular_function
0047498	calcium-dependent phospholipase A2 activity	molecular_function
0005544	calcium-dependent phospholipid binding	molecular_function
0004623	phospholipase A2 activity	molecular_function
0102567	phospholipase A2 activity (consuming 1,2-dipalmitoylphosphatidylcholine)	molecular_function
0102568	phospholipase A2 activity consuming 1,2-dioleoylphosphatidylethanolamine)	molecular_function
0006631	fatty acid metabolic process	biological_process
0046475	glycerophospholipid catabolic process	biological_process
0006654	phosphatidic acid biosynthetic process	biological_process
0036151	phosphatidylcholine acyl-chain remodeling	biological_process
0036152	phosphatidylethanolamine acyl-chain remodeling	biological_process
0036148	phosphatidylglycerol acyl-chain remodeling	biological_process
0036149	phosphatidylinositol acyl-chain remodeling	biological_process
0036150	phosphatidylserine acyl-chain remodeling	biological_process
0006644	phospholipid metabolic process	biological_process
0005615	extracellular space	cellular_component
0005794	Golgi apparatus	cellular_component
0000139	Golgi membrane	cellular_component
0016021	integral component of membrane	cellular_component
0005791	rough endoplasmic reticulum	cellular_component
0042383	sarcolemma	cellular_component
0002162	dystroglycan binding	molecular_function
0016740	transferase activity	molecular_function
0035269	protein O-linked mannosylation	biological_process
0016485	protein processing	biological_process
0005576	extracellular region	cellular_component
1904813	ficolin-1-rich granule lumen	cellular_component
0043564	Ku70:Ku80 complex	cellular_component
0070419	nonhomologous end joining complex	cellular_component
0000784	chromosome, telomeric region	cellular_component
0000783	nuclear telomere cap complex	cellular_component
0005730	nucleolus	cellular_component
0032993	protein-DNA complex	cellular_component
0034774	secretory granule lumen	cellular_component
0005667	transcription regulator complex	cellular_component
0051575	5'-deoxyribose-5-phosphate lyase activity	molecular_function
0005524	ATP binding	molecular_function
0030332	cyclin binding	molecular_function
0003684	damaged DNA binding	molecular_function
0003678	DNA helicase activity	molecular_function
0008094	DNA-dependent ATPase activity	molecular_function
0003690	double-stranded DNA binding	molecular_function
0044877	protein-containing complex binding	molecular_function
0042162	telomeric DNA binding	molecular_function
0000976	transcription regulatory region sequence-specific DNA binding	molecular_function
0002218	activation of innate immune response	biological_process
0007420	brain development	biological_process
0071475	cellular hyperosmotic salinity response	biological_process
0071480	cellular response to gamma radiation	biological_process
0071481	cellular response to X-ray	biological_process
0006266	DNA ligation	biological_process
0006310	DNA recombination	biological_process
0097680	double-strand break repair via classical nonhomologous end joining	biological_process
0006303	double-strand break repair via nonhomologous end joining	biological_process
0075713	establishment of integrated proviral latency	biological_process
0045087	innate immune response	biological_process
0045892	negative regulation of transcription, DNA-templated	biological_process
0043312	neutrophil degranulation	biological_process
0045621	positive regulation of lymphocyte differentiation	biological_process
0045860	positive regulation of protein kinase activity	biological_process
0045893	positive regulation of transcription, DNA-templated	biological_process
0032481	positive regulation of type I interferon production	biological_process
